date,open,high,low,volume,sentiment
2021/9/9 11:30,58.81,59,58.18,573508,0.220220143
2021/9/9 14:00,58.2,58.43,58,696774,0.559744077
2021/9/9 15:00,58.27,58.33,57.6,673764,0.53629817
2021/9/10 10:30,57.8,58.3,57,1108019,0.442191386
2021/9/10 11:30,57.53,57.86,57.2,595654,0.482017628
2021/9/10 14:00,57.83,59.43,57.76,970052,0.392996813
2021/9/10 15:00,58.8,59.68,58.8,1156390,0.392996813
2021/9/13 10:30,59.4,60.47,58.89,1547431,0.423145846
2021/9/13 11:30,58.93,59.29,58.74,403176,0.394335165
2021/9/13 14:00,58.97,59.1,58.8,325375,0.342478441
2021/9/13 15:00,59.01,59.3,58.91,426768,0.325340803
2021/9/14 10:30,59,59.95,58.5,1087471,0.64700844
2021/9/14 11:30,59.03,59.31,58.8,334981,0.648460187
2021/9/14 14:00,59.28,59.9,59,928713,0.63805182
2021/9/14 15:00,59.3,59.44,59,529886,0.66045591
2021/9/15 10:30,59.12,59.28,58.06,870118,0.280172328
2021/9/15 11:30,58.94,59.25,58.6,370853,0.383281896
2021/9/15 14:00,58.72,59.1,58.44,313759,0.619582079
2021/9/15 15:00,58.5,58.89,58.33,429258,0.39513794
2021/9/16 10:30,59.29,59.71,58.7,876364,0.303646926
2021/9/16 11:30,58.79,59.19,57.72,1204626,0.131211702
2021/9/16 14:00,57.86,58.18,56.9,1264550,0.180142706
2021/9/16 15:00,57.01,57.22,56.75,1295744,0.148370515
2021/9/17 10:30,57.61,57.61,55.99,1701471,0.31725149
2021/9/17 11:30,56.09,58.33,56,2474139,0.443280193
2021/9/17 14:00,57.5,58.72,57.5,2193166,0.357762976
2021/9/17 15:00,58.5,58.5,57.9,1498685,0.41817082
2021/9/22 10:30,56.83,57.33,56.26,1780333,0.696597242
2021/9/22 11:30,56.51,56.73,56,997390,0.388766779
2021/9/22 14:00,56.15,56.25,55.98,1182427,0.330988633
2021/9/22 15:00,55.99,56.28,55.97,861046,0.363324014
2021/9/23 10:30,56.5,57.02,56.01,1188243,0.5056508
2021/9/23 11:30,56.55,56.57,56.32,287388,0.60833626
2021/9/23 14:00,56.54,56.62,56.17,274864,0.563950606
2021/9/23 15:00,56.23,56.65,56.21,562815,0.469553108
2021/9/24 10:30,56.2,56.6,55.81,767077,0.438649846
2021/9/24 11:30,56.1,56.76,56.1,524319,0.347782405
2021/9/24 14:00,56.46,56.66,56.42,382320,0.412110288
2021/9/24 15:00,56.54,56.54,56.01,422533,0.413882696
2021/9/27 10:30,56.05,57.21,56,1601215,0.401589312
2021/9/27 11:30,56.7,56.95,56.1,578359,0.456573249
2021/9/27 14:00,56.28,56.49,56.01,406178,0.353389848
2021/9/27 15:00,56.32,56.42,56.15,382984,0.628931234
2021/9/28 10:30,56.75,56.75,55.51,1038989,0.674269287
2021/9/28 11:30,55.89,56.07,55.68,319600,0.635015879
2021/9/28 14:00,55.74,55.94,55.68,173915,0.477010561
2021/9/28 15:00,55.8,55.95,55.68,359951,0.534815869
2021/9/29 10:30,55.47,55.48,53.78,1550266,0.251821651
2021/9/29 11:30,54.2,54.2,53.74,570761,0.28186164
2021/9/29 14:00,53.74,53.9,53.5,457055,0.076045848
2021/9/29 15:00,53.72,53.8,52.78,1173555,0.351390338
2021/9/30 10:30,53.1,53.83,53.03,745695,0.480509807
2021/9/30 11:30,53.69,53.89,53.61,227962,0.244206488
2021/9/30 14:00,53.76,53.87,53.63,206049,0.413283368
2021/9/30 15:00,53.78,54.23,53.7,488152,0.466408328
2021/10/8 10:30,55.37,55.4,54.62,996978,0.5
2021/10/8 11:30,54.72,55.62,54.68,901372,0.5
2021/10/8 14:00,55.48,55.58,55.24,478738,0.5
2021/10/8 15:00,55.45,55.5,55.29,521914,0.5
2021/10/11 10:30,55.88,56.73,55.46,1266875,0.5
2021/10/11 11:30,55.99,56.15,55.91,237538,0.5
2021/10/11 14:00,56.1,56.19,55.55,285149,0.5
2021/10/11 15:00,55.7,56.09,55.58,396066,0.5
2021/10/12 10:30,56.07,56.07,54.95,725893,0.5
2021/10/12 11:30,55.82,56.26,55.35,343391,0.5
2021/10/12 14:00,55.35,55.35,54.65,543532,0.5
2021/10/12 15:00,54.93,55.19,54.66,364716,0.5
2021/10/13 10:30,55.19,55.69,54.73,478428,0.5
2021/10/13 11:30,54.8,54.85,54.42,425662,0.5
2021/10/13 14:00,54.62,54.87,54.51,391311,0.5
2021/10/13 15:00,54.64,54.8,54.48,398981,0.5
2021/10/14 10:30,54.55,54.8,53.8,856385,0.5
2021/10/14 11:30,53.89,53.98,53.72,322892,0.5
2021/10/14 14:00,53.97,54.5,53.86,355703,0.5
2021/10/14 15:00,54.46,54.48,54,320567,0.5
2021/10/15 10:30,54.27,54.82,53.55,821927,0.5
2021/10/15 11:30,54.66,54.66,54.21,303893,0.5
2021/10/15 14:00,54.28,54.55,54.23,263446,0.5
2021/10/15 15:00,54.36,54.44,54.1,356487,0.5
2021/10/18 10:30,54.48,54.48,52.93,1005359,0.5
2021/10/18 11:30,53.27,53.44,53.1,217576,0.5
2021/10/18 14:00,53.3,53.68,53.27,277428,0.5
2021/10/18 15:00,53.53,53.79,53.49,346759,0.5
2021/10/19 10:30,54.01,54.68,53.64,724692,0.5
2021/10/19 11:30,54.07,54.48,53.99,244271,0.5
2021/10/19 14:00,54.5,54.51,54.3,281691,0.5
2021/10/19 15:00,54.39,54.45,54.3,347233,0.5
2021/10/20 10:30,54.34,54.73,53.71,671262,0.5
